NetID,Weekly Log,Adjustments,Total,Add Comments
yw775,5,,5,
cl2449,5,,5,
qy62,5,,5,
yhk24,5,,5,
al2377,5,,5,
kj322,5,,5,
xc383,5,,5,
wy286,5,,5,
xt222,0,,0,
yc2384,5,,5,
cj326,5,,5,
dc897,5,,5,
yy777,5,,5,
sd864,5,,5,
xz577,5,,5,
yl2828,5,,5,
ayc33,0,,0,
dl899,5,,5,
sy652,5,,5,
aa2499,5,,5,
st883,5,,5,
zw479,5,,5,
bs623,5,,5,
jr2254,5,,5,
mnl46,5,,5,
yz2346,5,,5,
dbd62,5,,5,
tpv22,5,,5,
